Tag,D,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH
2020-04-19,2458,625,526,93,60,18,49,192,6,148,465,108,14,50,35,30,39
2020-04-18,3609,715,854,121,41,11,113,211,11,207,976,113,35,92,36,38,35
2020-04-17,3380,662,884,97,62,49,52,235,0,254,647,124,53,93,31,55,81
2020-04-16,2866,443,849,126,108,7,84,123,10,169,548,83,56,136,25,49,51
2020-04-15,2486,398,725,54,34,8,61,164,5,134,535,124,33,68,16,81,46
2020-04-14,2082,470,554,67,36,6,38,69,1,162,417,70,33,96,14,30,19
2020-04-13,2537,483,733,34,23,6,28,255,13,121,616,76,21,55,27,16,21
2020-04-12,2821,470,829,109,111,11,79,51,4,259,623,112,42,35,31,53,29
2020-04-11,4133,1184,1090,109,55,15,112,114,15,229,616,182,162,163,14,36,19
2020-04-10,5323,830,1536,147,113,9,231,452,14,310,1067,104,161,141,46,97,65
2020-04-09,4974,923,1263,174,106,21,155,277,17,419,1032,188,56,117,55,105,66
2020-04-08,4003,539,1401,183,88,25,106,128,24,185,709,156,105,147,33,97,77
2020-04-07,3834,746,1189,175,39,2,66,163,3,240,836,110,49,94,31,59,32
2020-04-06,3677,781,1128,57,40,3,48,99,5,248,649,219,125,162,37,40,36
2020-04-05,5936,1600,1938,142,94,40,248,296,22,141,850,159,93,150,23,72,68
2020-04-04,6082,955,1671,269,136,13,101,286,33,490,1279,142,186,255,60,116,90
2020-04-03,6174,1397,1741,232,80,14,190,286,30,386,1179,230,59,153,32,108,57
2020-04-02,6156,1252,1999,216,114,16,95,262,32,313,1076,233,191,149,54,89,65
2020-04-01,5453,1076,1687,179,83,17,120,162,40,319,1126,173,47,152,70,126,76
2020-03-31,4615,1391,821,111,37,8,138,192,10,331,1047,142,76,87,88,71,65
2020-03-30,4751,1149,1108,104,40,11,207,486,8,282,778,188,146,178,0,44,22
2020-03-29,3965,13,1731,199,76,15,81,1,40,300,793,184,10,185,134,90,113
2020-03-28,6294,1620,1669,206,108,19,72,281,49,340,1372,241,45,127,0,103,42
2020-03-27,5780,878,1488,299,60,30,428,166,15,463,1311,155,72,164,40,137,74
2020-03-26,4954,1214,1435,228,48,11,3,403,26,207,727,225,30,182,43,98,74
2020-03-25,4118,721,804,208,86,17,219,134,19,376,879,221,66,148,54,99,67
2020-03-24,4764,1537,862,143,55,13,100,273,27,281,703,193,137,158,109,95,78
2020-03-23,4062,4,1242,53,14,5,71,172,0,177,2070,124,13,47,1,36,33
2020-03-22,1948,139,690,158,20,23,285,95,7,283,3,115,0,39,23,39,29
2020-03-21,2705,922,559,135,62,21,1,267,34,220,45,137,41,173,8,42,38
2020-03-20,2958,591,709,158,58,41,154,131,33,134,464,164,47,119,40,64,51
2020-03-19,2801,546,449,182,42,11,74,250,42,191,661,163,11,77,35,43,24
2020-03-18,1042,130,134,46,19,12,48,59,11,153,267,32,13,16,47,32,23
2020-03-17,1144,374,42,45,-21,1,50,31,-6,-66,564,117,-10,42,-19,4,-4
2020-03-16,1174,278,181,35,10,3,98,56,1,104,134,157,53,10,30,20,4
2020-03-15,1043,258,205,49,23,3,4,83,5,34,253,47,-8,37,2,43,5
2020-03-14,733,115,123,42,17,8,59,55,12,23,218,19,0,10,3,12,17
2020-03-13,693,0,58,37,14,4,11,49,10,101,248,50,26,38,15,17,15
2020-03-12,802,177,134,47,6,17,40,51,6,54,204,27,0,19,12,4,4
2020-03-11,271,40,52,42,15,17,19,13,4,26,0,0,7,4,8,18,6
2020-03-10,157,33,58,0,3,0,12,9,3,11,0,8,1,10,7,0,2
2020-03-09,237,22,84,8,2,0,4,7,2,17,86,-2,2,5,0,0,0
2020-03-08,107,12,38,12,2,0,0,2,3,2,25,6,1,3,0,1,0
2020-03-07,156,74,17,9,0,0,2,1,0,1,44,3,1,2,0,1,1
2020-03-06,239,23,47,6,1,1,6,2,1,0,148,2,1,1,0,0,0
2020-03-05,160,29,22,7,0,1,3,2,1,14,70,6,0,0,0,5,0
2020-03-04,52,18,13,3,0,1,0,0,3,3,10,0,1,0,0,0,0
2020-03-03,38,7,10,2,1,0,1,0,0,0,15,0,0,1,0,0,1
2020-03-02,33,4,6,1,0,0,0,2,0,0,20,0,0,0,0,0,0
2020-03-01,51,1,4,0,0,1,1,5,0,1,36,1,0,0,0,1,0
2020-02-29,13,4,0,0,0,0,0,3,0,0,5,1,0,0,0,0,0
2020-02-28,27,4,1,0,0,0,0,0,0,0,21,0,0,0,0,1,0
2020-02-27,5,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
2020-02-26,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-02-25,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020-02-24,16,0,14,0,0,0,0,2,0,0,0,0,0,0,0,0,0
